Obstacle_Designator    ,AIXM_NAME  ,ObstacleType(AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group,,,,,,,,,,
LTBH_1093,BUILDING,BUILDING,401012.76N,0262722.23E,351.01,24.61,NO,,NO,,,,,,,,,,
LTBH_1094,BUILDING,BUILDING,401012.57N,0262722.78E,350.97,24.61,NO,,NO,,,,,,,,,,
LTBH_1095,BUILDING,BUILDING,401012.49N,0262721.82E,349.19,24.61,NO,,NO,,,,,,,,,,
LTBH_1096,BUILDING,BUILDING,401012.04N,0262722.71E,337.86,14.76,NO,,NO,,,,,,,,,,
LTBH_1097,BUILDING,BUILDING,401011.58N,0262721.60E,342.23,24.61,NO,,NO,,,,,,,,,,
LTBH_1098,BUILDING,BUILDING,401011.71N,0262729.46E,342.85,14.76,NO,,NO,,,,,,,,,,
LTBH_1099,BUILDING,BUILDING,401010.15N,0262728.19E,342.03,19.69,YES,RED,NO,,,,,,,,,,
LTBH_1100,BUILDING,BUILDING,401006.11N,0262720.12E,282.85,14.76,NO,,NO,,,,,,,,,,
LTBH_1101,BUILDING,BUILDING,400959.47N,0262726.63E,310.04,14.76,NO,,NO,,,,,,,,,,
LTBH_1102,BUILDING,BUILDING,401000.05N,0262726.26E,307.16,14.76,NO,,NO,,,,,,,,,,
LTBH_1103,BUILDING,BUILDING,400949.90N,0262639.92E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1104,BUILDING,BUILDING,400949.61N,0262640.61E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1105,BUILDING,BUILDING,400948.06N,0262639.26E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1106,BUILDING,BUILDING,400950.55N,0262639.91E,334.65,104.99,YES,RED,NO,,,,,,,,,,
LTBH_1107,BUILDING,BUILDING,400958.09N,0262629.34E,211.99,14.76,NO,,NO,,,,,,,,,,
LTBH_1108,BUILDING,BUILDING,400958.52N,0262701.46E,252.69,24.61,NO,,NO,,,,,,,,,,
LTBH_1109,BUILDING,BUILDING,400954.37N,0262748.29E,349.43,14.76,YES,RED,NO,,,,,,,,,,
LTBH_1110,BUILDING,BUILDING,400955.04N,0262750.20E,359.41,14.76,YES,RED,NO,,,,,,,,,,
LTBH_1111,BUILDING,BUILDING,400952.40N,0262757.34E,359.25,14.76,YES,RED,NO,,,,,,,,,,
LTBH_1112,BUILDING,BUILDING,400939.47N,0262801.41E,283.06,14.76,NO,,NO,,,,,,,,,,
LTBH_1113,BUILDING,BUILDING,400940.38N,0262800.46E,295.10,14.76,NO,,NO,,,,,,,,,,
LTBH_1114,BUILDING,BUILDING,400719.24N,0262640.24E,214.59,24.61,NO,,NO,,,,,,,,,,
LTBH_1115,BUILDING,BUILDING,400719.02N,0262639.95E,198.12,14.76,NO,,NO,,,,,,,,,,
LTBH_1116,BUILDING,BUILDING,400718.74N,0262640.85E,212.39,14.76,NO,,NO,,,,,,,,,,
LTBH_1117,BUILDING,BUILDING,400718.26N,0262640.86E,217.15,14.76,NO,,NO,,,,,,,,,,
LTBH_1118,BUILDING,BUILDING,400717.93N,0262641.06E,221.71,14.76,NO,,NO,,,,,,,,,,
LTBH_1119,BUILDING,BUILDING,400717.53N,0262641.72E,233.43,14.76,NO,,NO,,,,,,,,,,
LTBH_1120,BUILDING,BUILDING,400718.59N,0262642.11E,238.06,14.76,NO,,NO,,,,,,,,,,
LTBH_1121,BUILDING,BUILDING,400715.93N,0262645.16E,316.28,24.61,NO,,NO,,,,,,,,,,
LTBH_1122,BUILDING,BUILDING,400720.24N,0262643.19E,207.01,14.76,NO,,NO,,,,,,,,,,
LTBH_1123,BUILDING,BUILDING,400720.52N,0262643.59E,199.48,14.76,NO,,NO,,,,,,,,,,
LTBH_1124,BUILDING,BUILDING,400721.59N,0262643.13E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1125,BUILDING,BUILDING,400720.91N,0262644.54E,200.64,14.76,NO,,NO,,,,,,,,,,
LTBH_1126,BUILDING,BUILDING,400721.30N,0262644.79E,195.82,14.76,NO,,NO,,,,,,,,,,
LTBH_1127,BUILDING,BUILDING,400721.30N,0262645.27E,203.28,14.76,NO,,NO,,,,,,,,,,
LTBH_1128,BUILDING,BUILDING,400721.03N,0262645.88E,208.99,14.76,NO,,NO,,,,,,,,,,
LTBH_1129,BUILDING,BUILDING,400721.33N,0262644.35E,192.31,14.76,NO,,NO,,,,,,,,,,
LTBH_1130,BUILDING,BUILDING,400724.38N,0262645.82E,263.31,24.61,NO,,NO,,,,,,,,,,
LTBH_1131,BUILDING,BUILDING,400722.24N,0262645.35E,205.06,14.76,NO,,NO,,,,,,,,,,
LTBH_1132,BUILDING,BUILDING,400721.68N,0262647.55E,237.71,14.76,NO,,NO,,,,,,,,,,
LTBH_1133,BUILDING,BUILDING,400719.95N,0262649.86E,243.12,14.76,NO,,NO,,,,,,,,,,
LTBH_1134,BUILDING,BUILDING,400719.30N,0262652.54E,290.43,14.76,NO,,NO,,,,,,,,,,
LTBH_1135,BUILDING,BUILDING,400723.31N,0262637.88E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1136,BUILDING,BUILDING,400724.25N,0262638.09E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1137,BUILDING,BUILDING,400722.59N,0262638.09E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1138,BUILDING,BUILDING,400722.87N,0262638.89E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1139,BUILDING,BUILDING,400722.46N,0262638.84E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1140,BUILDING,BUILDING,400722.71N,0262639.37E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1141,BUILDING,BUILDING,400722.58N,0262640.07E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1142,BUILDING,BUILDING,400723.03N,0262640.58E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1143,BUILDING,BUILDING,400722.78N,0262640.75E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1144,BUILDING,BUILDING,400722.79N,0262640.42E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1145,BUILDING,BUILDING,400723.35N,0262641.27E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1146,BUILDING,BUILDING,400723.45N,0262640.85E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1147,BUILDING,BUILDING,400722.62N,0262641.66E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1148,BUILDING,BUILDING,400722.82N,0262641.99E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1149,BUILDING,BUILDING,400722.22N,0262643.33E,179.82,14.76,NO,,NO,,,,,,,,,,
LTBH_1150,BUILDING,BUILDING,400722.25N,0262643.10E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1151,BUILDING,BUILDING,400722.67N,0262642.41E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1152,BUILDING,BUILDING,400723.28N,0262642.38E,181.01,14.76,NO,,NO,,,,,,,,,,
LTBH_1153,BUILDING,BUILDING,400726.15N,0262642.25E,191.55,14.76,NO,,NO,,,,,,,,,,
LTBH_1154,BUILDING,BUILDING,400729.46N,0262651.94E,188.32,14.76,NO,,NO,,,,,,,,,,
LTBH_1155,BUILDING,BUILDING,400714.36N,0262617.56E,372.33,14.76,NO,,NO,,,,,,,,,,
LTBH_1156,BUILDING,BUILDING,400708.84N,0262633.29E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1157,BUILDING,BUILDING,400709.18N,0262634.14E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1158,BUILDING,BUILDING,400710.90N,0262636.15E,245.32,14.76,NO,,NO,,,,,,,,,,
LTBH_1159,BUILDING,BUILDING,400710.44N,0262636.14E,249.08,14.76,NO,,NO,,,,,,,,,,
LTBH_1160,BUILDING,BUILDING,400710.04N,0262635.98E,246.49,14.76,NO,,NO,,,,,,,,,,
LTBH_1161,BUILDING,BUILDING,400658.44N,0262638.49E,355.94,14.76,NO,,NO,,,,,,,,,,
LTBH_1162,BUILDING,BUILDING,400658.81N,0262638.14E,347.47,14.76,NO,,NO,,,,,,,,,,
LTBH_1163,BUILDING,BUILDING,400659.89N,0262637.40E,329.68,14.76,NO,,NO,,,,,,,,,,
LTBH_1164,BUILDING,BUILDING,400710.18N,0262647.38E,375.40,14.76,NO,,NO,,,,,,,,,,
LTBH_1165,BUILDING,BUILDING,400712.57N,0262710.23E,244.04,14.76,NO,,NO,,,,,,,,,,
LTBH_1166,BUILDING,BUILDING,400712.49N,0262710.49E,244.42,14.76,NO,,NO,,,,,,,,,,
LTBH_1167,BUILDING,BUILDING,400722.97N,0262705.73E,185.18,14.76,NO,,NO,,,,,,,,,,
LTBH_1168,BUILDING,BUILDING,400730.06N,0262704.93E,174.20,14.76,NO,,NO,,,,,,,,,,
LTBH_1169,BUILDING,BUILDING,400739.77N,0262713.95E,183.49,14.76,NO,,NO,,,,,,,,,,
LTBH_1170,BUILDING,BUILDING,400741.77N,0262744.62E,203.83,14.76,NO,,NO,,,,,,,,,,
LTBH_1171,BUILDING,BUILDING,400741.50N,0262744.92E,211.61,14.76,NO,,NO,,,,,,,,,,
LTBH_1172,BUILDING,BUILDING,400748.64N,0262835.45E,371.55,14.76,NO,,NO,,,,,,,,,,
LTBH_1173,BUILDING,BUILDING,400747.60N,0262836.33E,377.39,14.76,NO,,NO,,,,,,,,,,
LTBH_1174,BUILDING,BUILDING,400752.67N,0262832.75E,234.98,14.76,NO,,NO,,,,,,,,,,
LTBH_1175,BUILDING,BUILDING,400932.76N,0262754.67E,278.73,14.76,NO,,NO,,,,,,,,,,
LTBH_1176,BUILDING,BUILDING,400932.57N,0262757.91E,293.64,14.76,NO,,NO,,,,,,,,,,
LTBH_1177,BUILDING,BUILDING,400930.45N,0262755.23E,282.20,14.76,NO,,NO,,,,,,,,,,
LTBH_1178,BUILDING,BUILDING,400928.23N,0262754.87E,271.12,14.76,NO,,NO,,,,,,,,,,
LTBH_1179,BUILDING,BUILDING,400929.36N,0262753.30E,276.29,14.76,NO,,NO,,,,,,,,,,
LTBH_1180,BUILDING,BUILDING,400926.28N,0262749.08E,273.53,14.76,NO,,NO,,,,,,,,,,
LTBH_1181,BUILDING,BUILDING,400926.57N,0262752.05E,267.76,14.76,NO,,NO,,,,,,,,,,
LTBH_1182,BUILDING,BUILDING,400927.17N,0262746.00E,277.23,14.76,YES,RED,NO,,,,,,,,,,
LTBH_1183,BUILDING,BUILDING,400923.43N,0262743.62E,250.67,14.76,NO,,NO,,,,,,,,,,
LTBH_1184,BUILDING,BUILDING,400924.95N,0262740.18E,249.57,14.76,NO,,NO,,,,,,,,,,
LTBH_1185,BUILDING,BUILDING,400932.84N,0262803.55E,306.39,14.76,NO,,NO,,,,,,,,,,
LTBH_1186,BUILDING,BUILDING,400931.10N,0262805.09E,294.91,14.76,NO,,NO,,,,,,,,,,
LTBH_1187,BUILDING,BUILDING,400930.91N,0262800.41E,293.64,14.76,NO,,NO,,,,,,,,,,
LTBH_1188,BUILDING,BUILDING,400929.57N,0262802.50E,283.08,14.76,NO,,NO,,,,,,,,,,
LTBH_1189,BUILDING,BUILDING,400928.12N,0262803.86E,273.60,14.76,NO,,NO,,,,,,,,,,
LTBH_1190,BUILDING,BUILDING,400929.51N,0262809.00E,288.12,24.61,NO,,NO,,,,,,,,,,
LTBH_1191,BUILDING,BUILDING,400926.99N,0262813.44E,316.97,24.61,NO,,NO,,,,,,,,,,
LTBH_1192,BUILDING,BUILDING,400925.74N,0262815.46E,319.85,24.61,NO,,NO,,,,,,,,,,
LTBH_1193,BUILDING,BUILDING,400923.89N,0262817.38E,292.46,14.76,NO,,NO,,,,,,,,,,
LTBH_1194,BUILDING,BUILDING,400922.41N,0262757.49E,257.20,24.61,NO,,NO,,,,,,,,,,
LTBH_1195,BUILDING,BUILDING,400922.82N,0262802.82E,270.40,24.61,NO,,NO,,,,,,,,,,
LTBH_1196,BUILDING,BUILDING,400919.32N,0262809.26E,293.72,24.61,NO,,NO,,,,,,,,,,
LTBH_1197,BUILDING,BUILDING,400919.15N,0262821.58E,271.20,14.76,NO,,NO,,,,,,,,,,
LTBH_1198,BUILDING,BUILDING,400918.80N,0262759.01E,270.67,24.61,NO,,NO,,,,,,,,,,
LTBH_1199,BUILDING,BUILDING,400915.44N,0262754.38E,255.99,24.61,NO,,NO,,,,,,,,,,
LTBH_1200,BUILDING,BUILDING,400914.46N,0262756.30E,258.70,24.61,NO,,NO,,,,,,,,,,
LTBH_1201,BUILDING,BUILDING,400912.54N,0262759.70E,257.69,24.61,NO,,NO,,,,,,,,,,
LTBH_1202,BUILDING,BUILDING,400910.77N,0262805.78E,251.48,14.76,NO,,NO,,,,,,,,,,
LTBH_1203,BUILDING,BUILDING,400915.29N,0262752.33E,242.70,14.76,NO,,NO,,,,,,,,,,
LTBH_1204,BUILDING,BUILDING,400917.35N,0262754.19E,245.10,14.76,NO,,NO,,,,,,,,,,
LTBH_1205,BUILDING,BUILDING,400916.04N,0262749.83E,235.70,14.76,NO,,NO,,,,,,,,,,
LTBH_1206,BUILDING,BUILDING,400917.33N,0262749.66E,228.55,14.76,NO,,NO,,,,,,,,,,
LTBH_1207,BUILDING,BUILDING,400930.68N,0262813.65E,305.06,14.76,NO,,NO,,,,,,,,,,
LTBH_1208,BUILDING,BUILDING,400933.25N,0262814.89E,323.37,14.76,NO,,NO,,,,,,,,,,
LTBH_1209,BUILDING,BUILDING,400930.04N,0262822.93E,331.37,14.76,NO,,NO,,,,,,,,,,
LTBH_1210,BUILDING,BUILDING,400931.13N,0262821.89E,339.10,14.76,NO,,NO,,,,,,,,,,
LTBH_1211,BUILDING,BUILDING,400932.49N,0262821.75E,349.91,14.76,NO,,NO,,,,,,,,,,
LTBH_1212,BUILDING,BUILDING,400933.21N,0262819.96E,344.33,14.76,NO,,NO,,,,,,,,,,
LTBH_1213,BUILDING,BUILDING,400934.77N,0262821.12E,353.05,14.76,NO,,NO,,,,,,,,,,
LTBH_1214,BUILDING,BUILDING,400933.65N,0262818.12E,343.09,14.76,NO,,NO,,,,,,,,,,
LTBH_1215,BUILDING,BUILDING,400935.88N,0262817.45E,346.30,14.76,NO,,NO,,,,,,,,,,
LTBH_1216,BUILDING,BUILDING,400936.43N,0262813.49E,335.39,14.76,NO,,NO,,,,,,,,,,
LTBH_1217,BUILDING,BUILDING,400938.97N,0262811.00E,335.24,14.76,NO,,NO,,,,,,,,,,
LTBH_1218,BUILDING,BUILDING,400939.58N,0262811.91E,339.88,14.76,NO,,NO,,,,,,,,,,
LTBH_1219,BUILDING,BUILDING,400940.70N,0262809.30E,330.07,14.76,NO,,NO,,,,,,,,,,
LTBH_1220,BUILDING,BUILDING,400940.10N,0262808.83E,326.79,14.76,NO,,NO,,,,,,,,,,
LTBH_1221,BUILDING,BUILDING,400941.15N,0262809.90E,332.90,14.76,NO,,NO,,,,,,,,,,
LTBH_1222,BUILDING,BUILDING,400941.92N,0262810.09E,339.01,14.76,NO,,NO,,,,,,,,,,
LTBH_1223,BUILDING,BUILDING,400942.19N,0262806.22E,319.85,14.76,NO,,NO,,,,,,,,,,
LTBH_1224,BUILDING,BUILDING,400953.50N,0262817.74E,349.17,14.76,NO,,NO,,,,,,,,,,
LTBH_1225,BUILDING,BUILDING,400941.68N,0262834.63E,392.06,14.76,NO,,NO,,,,,,,,,,
LTBH_1226,BUILDING,BUILDING,400920.17N,0262917.36E,424.87,14.76,NO,,NO,,,,,,,,,,
LTBH_1227,BUILDING,BUILDING,400919.80N,0262917.12E,424.87,14.76,NO,,NO,,,,,,,,,,
LTBH_1228,BUILDING,BUILDING,400946.14N,0262438.30E,246.57,83.66,NO,,NO,,,,,,,,,,
LTBH_1229,BUILDING,BUILDING,400944.97N,0262437.48E,251.53,83.66,NO,,NO,,,,,,,,,,
LTBH_1230,BUILDING,BUILDING,400944.39N,0262437.12E,259.37,83.66,NO,,NO,,,,,,,,,,
LTBH_1231,BUILDING,BUILDING,400943.86N,0262438.04E,256.30,83.66,NO,,NO,,,,,,,,,,
LTBH_1232,BUILDING,BUILDING,400944.69N,0262438.60E,248.34,83.66,NO,,NO,,,,,,,,,,
LTBH_1233,BUILDING,BUILDING,400942.72N,0262436.76E,244.42,63.98,NO,,NO,,,,,,,,,,
LTBH_1234,BUILDING,BUILDING,400859.29N,0262848.15E,238.05,14.76,NO,,NO,,,,,,,,,,
LTBH_1235,BUILDING,BUILDING,400858.92N,0262846.68E,235.34,14.76,NO,,NO,,,,,,,,,,
LTBH_1236,BUILDING,BUILDING,400851.47N,0262901.95E,241.87,14.76,NO,,NO,,,,,,,,,,
LTBH_1237,BUILDING,BUILDING,400846.93N,0262853.67E,222.13,14.76,NO,,NO,,,,,,,,,,
LTBH_1238,BUILDING,BUILDING,400846.18N,0262852.18E,214.49,14.76,NO,,NO,,,,,,,,,,
LTBH_1239,BUILDING,BUILDING,400846.17N,0262852.57E,214.91,14.76,NO,,NO,,,,,,,,,,
LTBH_1240,BUILDING,BUILDING,400845.78N,0262854.44E,215.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1241,BUILDING,BUILDING,400845.51N,0262854.48E,213.43,14.76,NO,,NO,,,,,,,,,,
LTBH_1242,BUILDING,BUILDING,400844.93N,0262849.94E,194.07,14.76,NO,,NO,,,,,,,,,,
LTBH_1243,BUILDING,BUILDING,400844.70N,0262850.38E,193.39,14.76,NO,,NO,,,,,,,,,,
LTBH_1244,BUILDING,BUILDING,400844.62N,0262848.57E,192.50,14.76,NO,,NO,,,,,,,,,,
LTBH_1245,BUILDING,BUILDING,400843.45N,0262846.91E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1246,BUILDING,BUILDING,400842.94N,0262847.40E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1247,BUILDING,BUILDING,400842.36N,0262846.80E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1248,BUILDING,BUILDING,400843.29N,0262847.66E,178.81,14.76,NO,,NO,,,,,,,,,,
LTBH_1249,BUILDING,BUILDING,400841.71N,0262846.56E,174.98,14.76,NO,,NO,,,,,,,,,,
LTBH_1250,BUILDING,BUILDING,400841.91N,0262845.12E,175.89,14.76,NO,,NO,,,,,,,,,,
LTBH_1251,BUILDING,BUILDING,400846.48N,0262832.06E,194.44,14.76,NO,,NO,,,,,,,,,,
LTBH_1252,BUILDING,BUILDING,400944.84N,0262443.18E,211.17,54.13,NO,,NO,,,,,,,,,,
LTBH_1253,BUILDING,BUILDING,400943.62N,0262440.56E,217.00,54.13,NO,,NO,,,,,,,,,,
LTBH_1254,BUILDING,BUILDING,400942.10N,0262437.92E,239.69,63.98,NO,,NO,,,,,,,,,,
LTBH_1255,BUILDING,BUILDING,400941.13N,0262437.36E,241.10,63.98,NO,,NO,,,,,,,,,,
LTBH_1256,BUILDING,BUILDING,400940.80N,0262439.57E,199.41,34.45,NO,,NO,,,,,,,,,,
LTBH_1257,BUILDING,BUILDING,400941.08N,0262439.40E,201.78,34.45,NO,,NO,,,,,,,,,,
LTBH_1258,BUILDING,BUILDING,400941.21N,0262440.11E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_1259,BUILDING,BUILDING,400940.26N,0262438.97E,204.82,34.45,NO,,NO,,,,,,,,,,
LTBH_1260,BUILDING,BUILDING,400940.02N,0262439.43E,201.23,34.45,NO,,NO,,,,,,,,,,
LTBH_1261,BUILDING,BUILDING,400939.56N,0262440.48E,198.49,34.45,NO,,NO,,,,,,,,,,
LTBH_1262,BUILDING,BUILDING,400939.31N,0262440.92E,198.35,34.45,NO,,NO,,,,,,,,,,
LTBH_1263,BUILDING,BUILDING,400936.94N,0262440.41E,212.07,54.13,NO,,NO,,,,,,,,,,
LTBH_1264,BUILDING,BUILDING,400937.51N,0262436.62E,204.96,44.29,NO,,NO,,,,,,,,,,
LTBH_1265,BUILDING,BUILDING,400936.08N,0262436.09E,185.19,54.13,NO,,NO,,,,,,,,,,
LTBH_1266,BUILDING,BUILDING,400934.60N,0262440.58E,187.64,54.13,NO,,NO,,,,,,,,,,
LTBH_1267,BUILDING,BUILDING,400933.92N,0262442.10E,185.90,54.13,NO,,NO,,,,,,,,,,
LTBH_1268,BUILDING,BUILDING,400934.66N,0262442.28E,195.88,54.13,NO,,NO,,,,,,,,,,
LTBH_1269,BUILDING,BUILDING,400935.31N,0262441.02E,199.58,54.13,NO,,NO,,,,,,,,,,
LTBH_1270,BUILDING,BUILDING,400934.97N,0262441.63E,198.10,54.13,NO,,NO,,,,,,,,,,
LTBH_1271,BUILDING,BUILDING,400938.65N,0262443.92E,205.03,44.29,NO,,NO,,,,,,,,,,
LTBH_1272,BUILDING,BUILDING,400657.14N,0262848.56E,772.22,14.76,NO,,NO,,,,,,,,,,
LTBH_1273,BUILDING,BUILDING,400559.69N,0262831.25E,1334.99,14.76,NO,,NO,,,,,,,,,,
LTBH_1274,BUILDING,BUILDING,400558.00N,0262831.27E,1328.90,24.61,NO,,NO,,,,,,,,,,
LTBH_1275,BUILDING,BUILDING,400555.86N,0262828.04E,1290.85,14.76,NO,,NO,,,,,,,,,,
LTBH_1276,BUILDING,BUILDING,400555.98N,0262824.04E,1307.95,14.76,NO,,NO,,,,,,,,,,
LTBH_1277,BUILDING,BUILDING,400550.96N,0262828.53E,1254.40,14.76,NO,,NO,,,,,,,,,,
LTBH_1278,BUILDING,BUILDING,400510.38N,0262709.19E,647.46,14.76,NO,,NO,,,,,,,,,,
LTBH_1279,BUILDING,BUILDING,400510.61N,0262708.60E,647.84,14.76,NO,,NO,,,,,,,,,,
LTBH_1280,BUILDING,BUILDING,400510.01N,0262709.72E,644.14,14.76,NO,,NO,,,,,,,,,,
LTBH_1281,BUILDING,BUILDING,400509.84N,0262709.82E,643.03,14.76,NO,,NO,,,,,,,,,,
LTBH_1282,BUILDING,BUILDING,400509.41N,0262707.79E,639.25,14.76,NO,,NO,,,,,,,,,,
LTBH_1283,BUILDING,BUILDING,400510.81N,0262706.32E,642.44,14.76,NO,,NO,,,,,,,,,,
LTBH_1284,BUILDING,BUILDING,400511.61N,0262713.20E,659.66,14.76,NO,,NO,,,,,,,,,,
LTBH_1285,BUILDING,BUILDING,400507.95N,0262711.75E,624.62,14.76,NO,,NO,,,,,,,,,,
LTBH_1286,BUILDING,BUILDING,400508.63N,0262712.19E,635.03,14.76,NO,,NO,,,,,,,,,,
LTBH_1287,BUILDING,BUILDING,400508.07N,0262713.01E,633.43,14.76,NO,,NO,,,,,,,,,,
LTBH_1288,BUILDING,BUILDING,400508.04N,0262713.98E,640.38,14.76,NO,,NO,,,,,,,,,,
LTBH_1289,BUILDING,BUILDING,400507.60N,0262710.98E,618.72,14.76,NO,,NO,,,,,,,,,,
LTBH_1290,BUILDING,BUILDING,400508.17N,0262714.55E,644.92,14.76,NO,,NO,,,,,,,,,,
LTBH_1291,BUILDING,BUILDING,400507.65N,0262709.29E,620.11,14.76,NO,,NO,,,,,,,,,,
LTBH_1292,BUILDING,BUILDING,400504.29N,0262712.78E,605.32,14.76,NO,,NO,,,,,,,,,,
LTBH_1293,BUILDING,BUILDING,400504.52N,0262713.42E,605.32,14.76,NO,,NO,,,,,,,,,,
LTBH_1294,BUILDING,BUILDING,400513.89N,0262704.91E,613.58,24.61,NO,,NO,,,,,,,,,,
LTBH_1295,BUILDING,BUILDING,400514.27N,0262704.49E,590.74,14.76,NO,,NO,,,,,,,,,,
LTBH_1296,BUILDING,BUILDING,400459.48N,0262710.24E,553.30,14.76,NO,,NO,,,,,,,,,,
LTBH_1297,BUILDING,BUILDING,400521.57N,0262643.66E,580.26,14.76,NO,,NO,,,,,,,,,,
LTBH_1298,BUILDING,BUILDING,400538.46N,0262435.86E,188.77,14.76,NO,,NO,,,,,,,,,,
LTBH_1299,BUILDING,BUILDING,400554.91N,0262439.35E,239.70,14.76,NO,,NO,,,,,,,,,,
LTBH_1300,BUILDING,BUILDING,400554.25N,0262438.83E,236.91,14.76,NO,,NO,,,,,,,,,,
LTBH_1301,BUILDING,BUILDING,400604.24N,0262429.65E,180.72,44.29,NO,,NO,,,,,,,,,,
LTBH_1302,BUILDING,BUILDING,400604.88N,0262436.57E,206.98,54.13,NO,,NO,,,,,,,,,,
LTBH_1303,BUILDING,BUILDING,400606.38N,0262433.76E,185.37,54.13,NO,,NO,,,,,,,,,,
LTBH_1304,BUILDING,BUILDING,400607.33N,0262438.59E,201.80,54.13,NO,,NO,,,,,,,,,,
LTBH_1305,BUILDING,BUILDING,400606.49N,0262431.36E,174.11,44.29,NO,,NO,,,,,,,,,,
LTBH_1306,BUILDING,BUILDING,400603.36N,0262432.02E,199.65,54.13,NO,,NO,,,,,,,,,,
LTBH_1307,BUILDING,BUILDING,400603.60N,0262433.93E,201.63,54.13,NO,,NO,,,,,,,,,,
LTBH_1308,BUILDING,BUILDING,400602.76N,0262435.35E,216.78,54.13,NO,,NO,,,,,,,,,,
LTBH_1309,BUILDING,BUILDING,400604.91N,0262432.87E,185.37,54.13,NO,,NO,,,,,,,,,,
LTBH_1310,BUILDING,BUILDING,400605.07N,0262434.92E,194.61,54.13,NO,,NO,,,,,,,,,,
LTBH_1311,BUILDING,BUILDING,400606.50N,0262437.20E,200.05,54.13,NO,,NO,,,,,,,,,,
LTBH_1312,BUILDING,BUILDING,400608.51N,0262435.27E,185.37,54.13,NO,,NO,,,,,,,,,,
LTBH_1313,BUILDING,BUILDING,400607.93N,0262436.94E,189.81,54.13,NO,,NO,,,,,,,,,,
LTBH_1314,BUILDING,BUILDING,400604.74N,0262442.95E,240.67,54.13,NO,,NO,,,,,,,,,,
LTBH_1315,BUILDING,BUILDING,400603.05N,0262442.98E,249.53,54.13,NO,,NO,,,,,,,,,,
LTBH_1316,BUILDING,BUILDING,400601.90N,0262442.05E,250.18,54.13,NO,,NO,,,,,,,,,,
LTBH_1317,BUILDING,BUILDING,400558.70N,0262429.21E,228.44,54.13,NO,,NO,,,,,,,,,,
LTBH_1318,BUILDING,BUILDING,400745.53N,0262452.10E,70.54,54.13,YES,RED,NO,,,,,,,,,,
LTBH_1319,BUILDING,BUILDING,400745.70N,0262450.90E,70.40,54.13,NO,,NO,,,,,,,,,,
LTBH_1320,BUILDING,BUILDING,400745.10N,0262449.26E,69.39,54.13,NO,,NO,,,,,,,,,,
LTBH_1321,BUILDING,BUILDING,400744.52N,0262449.15E,69.22,54.13,NO,,NO,,,,,,,,,,
LTBH_1322,BUILDING,BUILDING,400743.91N,0262448.51E,68.76,54.13,NO,,NO,,,,,,,,,,
LTBH_1323,BUILDING,BUILDING,400743.15N,0262448.01E,68.30,54.13,NO,,NO,,,,,,,,,,
LTBH_1324,BUILDING,BUILDING,400742.27N,0262447.56E,67.96,54.13,NO,,NO,,,,,,,,,,
LTBH_1325,BUILDING,BUILDING,400741.90N,0262449.48E,69.34,54.13,NO,,NO,,,,,,,,,,
LTBH_1326,BUILDING,BUILDING,400741.56N,0262448.33E,68.48,54.13,NO,,NO,,,,,,,,,,
LTBH_1327,BUILDING,BUILDING,400742.44N,0262450.35E,69.95,54.13,YES,RED,NO,,,,,,,,,,
LTBH_1328,BUILDING,BUILDING,400743.45N,0262449.54E,69.44,54.13,NO,,NO,,,,,,,,,,
LTBH_1329,BUILDING,BUILDING,400743.30N,0262451.11E,70.40,54.13,YES,RED,NO,,,,,,,,,,
LTBH_1330,BUILDING,BUILDING,400744.18N,0262450.28E,69.90,54.13,NO,,NO,,,,,,,,,,
LTBH_1331,BUILDING,BUILDING,400744.70N,0262451.55E,70.54,54.13,NO,,NO,,,,,,,,,,
